original contig name	Isolation source	Completeness	Cenote-taker contig name	Length	Element Name	Topology	Common Viral Domains	ORF caller used	BLASTN result (if any)	GI	ref	taxid	Kingdom	Phylum	Class	Order	Family	Genus	Species	Protein	Coverage	Repetitive
contig_1009	unknown	unknown	NA	1466	Lachnospiraceae sp. cat1010	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186803	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	not classified	not classified	no protein	4	N
contig_101	unknown	Partial genome (putative)	ct2_contig_dictionary13_vs01	9625	Podoviridae sp. ctLN113	linear	1	Prodigal (meta)	no blastn	526176764	YP_008240626.1	1328029	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Lightbulbvirus	Cellulophaga virus Cba41	structural protein	2	N
contig_1010	unknown	unknown	NA	1484	dark_matter sp. cat1001	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1001	no protein	1	N
contig_1011	unknown	unknown	NA	1465	uncultured Lachnospira sp. sp. cat1012	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	446043	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	uncultured Lachnospira sp.	no protein	2	N
contig_1012	unknown	unknown	NA	1480	not classified sp. cat1013	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1013	unknown	unknown	NA	1480	Bifidobacterium sp. cat1014	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1678	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	not classified	no protein	2	N
contig_1014	unknown	Partial genome (putative)	ct2_contig_dictionary18_vs01	1479	Microviridae sp. ctPol18	linear	1	Prodigal (meta)	no blastn	906476412	YP_009160407.1	1655661	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	major capsid protein VP1	1	N
contig_1015	unknown	Partial genome (putative)	ct2_contig_dictionary19_vs01	1479	Podoviridae sp. ctZ9h19	linear	1	Prodigal (meta)	no blastn	12248109	NP_073685.1	12345	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Salasvirus	Salasvirus_undefined_species	DNA polymerase	1	N
contig_1016	unknown	Partial genome (putative)	ct2_contig_dictionary20_vs01	1478	Siphoviridae sp. ctuWE20	linear	1	Prodigal (meta)	no blastn	115315588	YP_764275.1	213769	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Skunavirus_undefined_species	tail tape measure	1	N
contig_1017	unknown	unknown	NA	1472	Alkaliphilus sp. sp. cat1018	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1872455	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus	Alkaliphilus sp.	no protein	1	N
contig_1018	unknown	unknown	NA	1226	not classified sp. cat1019	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	11	N
contig_1019	unknown	unknown	NA	1477	Prevotellaceae sp. cat1020	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171552	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	not classified	not classified	no protein	1	N
contig_102	unknown	Partial genome (putative)	ct2_contig_dictionary24_vs01	13740	Siphoviridae sp. ctLue24	linear	6	Prodigal (meta)	no blastn	526244484	YP_008318110.1	1262533	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Skunavirus_undefined_species	hypothetical protein 340_0018	1	N
contig_1020	unknown	unknown	NA	1477	dark_matter sp. cat1002	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1002	no protein	1	N
contig_1021	unknown	unknown	NA	1476	not classified sp. cat1022	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1022	unknown	unknown	NA	1476	Bacteroides salyersiae sp. cat1023	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	291644	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salyersiae	no protein	1	N
contig_1023	unknown	unknown	NA	1475	Bacteroidales sp. cat1024	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	not classified	no protein	1	N
contig_1024	unknown	unknown	NA	1480	Bacteroidales sp. cat1025	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	not classified	no protein	1	N
contig_1025	unknown	unknown	NA	1470	Zoogloea sp. 1C4 sp. cat1026	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2570190	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea	Zoogloea sp. 1C4	no protein	1	N
contig_1026	unknown	unknown	NA	1467	Lawsonibacter asaccharolyticus sp. cat1027	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2108523	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_undefined_family	Lawsonibacter	Lawsonibacter asaccharolyticus	no protein	7	N
contig_1027	unknown	unknown	NA	1468	Firmicutes sp. cat1028	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1239	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1028	unknown	unknown	NA	1458	dark_matter sp. cat1003	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1003	no protein	1	N
contig_1029	unknown	unknown	NA	1467	Prevotella sp. cat1029	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	not classified	no protein	1	N
contig_103	unknown	Partial genome (putative)	ct2_contig_dictionary35_vs01	13536	Podoviridae sp. ctnzv35	linear	2	Prodigal (meta)	no blastn	481019079	YP_007877435.1	573171	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	large subunit terminase	1	N
contig_1030	unknown	Partial genome (putative)	ct2_contig_dictionary36_vs01	1466	Microviridae sp. ct4NE36	linear	1	Prodigal (meta)	no blastn	1043372885	YP_009259741.1	1676182	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	minor CP 1	1	N
contig_1031	unknown	unknown	NA	1418	not classified sp. cat1032	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	131567	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	2	N
contig_1032	unknown	unknown	NA	1464	Chicken microvirus mg4_207 sp. cat1033	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2720916	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microvirus	Chicken microvirus mg4_207	no protein	1	N
contig_1033	unknown	unknown	NA	1462	Parabacteroides sp. CAG:409 sp. cat1034	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1262913	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp. CAG:409	no protein	1	N
contig_1034	unknown	Partial genome (putative)	ct2_contig_dictionary40_vs01	1462	Microviridae sp. ctslk40	linear	2	Prodigal (meta)	no blastn	1043372884	YP_009259740.1	1676182	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	replication initiator protein	1	N
contig_1035	unknown	unknown	NA	1462	dark_matter sp. cat1004	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1004	no protein	1	N
contig_1036	unknown	Partial genome (putative)	ct2_contig_dictionary42_vs01	1462	Microviridae sp. ctUiJ42	linear	1	Prodigal (meta)	no blastn	906476402	YP_009160402.1	1655660	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	major capsid protein VP1	1	N
contig_1037	unknown	Partial genome (putative)	ct2_contig_dictionary43_vs01	1461	Microviridae sp. ctC5O43	linear	1	Prodigal (meta)	no blastn	971765486	YP_009218538.1	1655644	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	replication protein VP4	1	N
contig_1038	unknown	unknown	NA	1461	not classified sp. cat1038	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	131567	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1039	unknown	unknown	NA	1470	not classified sp. cat1039	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	131567	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	2	N
contig_104	unknown	unknown	NA	13531	Bacteroidales sp. cat1040	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	not classified	no protein	4	N
contig_1040	unknown	unknown	NA	1459	Phascolarctobacterium sp. sp. cat1041	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2049039	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp.	no protein	1	N
contig_1041	unknown	unknown	NA	1458	dark_matter sp. cat1005	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1005	no protein	1	N
contig_1042	unknown	unknown	NA	1457	not classified sp. cat1042	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1043	unknown	unknown	NA	1457	dark_matter sp. cat1006	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1006	no protein	1	N
contig_1044	unknown	unknown	NA	1457	Clostridiales sp. cat1043	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1045	unknown	Partial genome (putative)	ct2_contig_dictionary52_vs01	1456	Myoviridae sp. ctGhw52	linear	1	Prodigal (meta)	no blastn	764162251	YP_009126607.1	1537091	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Gofduovirus	Edwardsiella virus GF2	putative head protein	1	N
contig_1046	unknown	unknown	NA	1092	dark_matter sp. cat1007	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1007	no protein	2	N
contig_1047	unknown	unknown	NA	1452	Erysipelatoclostridium ramosum sp. cat1045	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1547	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	no protein	1	N
contig_1048	unknown	unknown	NA	1452	not classified sp. cat1046	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	131567	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1049	unknown	Partial genome (putative)	ct2_contig_dictionary56_vs01	1456	CrAss-like virus sp. cteNU56	linear	1	Prodigal (meta)	no blastn	674660405	YP_009052563.1	1211417	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	putative Plasmid replication initiation protein RepL	1	N
contig_105	unknown	Partial genome (putative)	ct2_contig_dictionary57_vs01	12481	Myoviridae sp. ctckx57	linear	5	Prodigal (meta)	no blastn	971763867	YP_009216852.1	1522092	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Lubbockvirus	Lubbockvirus_undefined_species	putative terminase large subunit protein	1	N
contig_1050	unknown	unknown	NA	1455	not classified sp. cat1049	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	2	N
contig_1051	unknown	unknown	NA	1440	Lawsonia intracellularis PHE/MN1-00 sp. cat1050	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	363253	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Lawsonia	Lawsonia intracellularis	no protein	5	N
contig_1052	unknown	unknown	NA	1449	not classified sp. cat1051	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1053	unknown	Partial genome (putative)	ct2_contig_dictionary61_vs01	1448	Siphoviridae sp. ctQjO61	linear	3	Prodigal (meta)	no blastn	985758349	YP_009223720.1	1572712	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	putative terminase large subunit	1	N
contig_1054	unknown	unknown	NA	1447	Firmicutes sp. cat1053	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1239	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1055	unknown	Partial genome (putative)	ct2_contig_dictionary63_vs01	1446	Siphoviridae sp. ct0PK63	linear	1	Prodigal (meta)	no blastn	589890443	YP_009005974.1	1458697	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Rigallicvirus	Rhizobium virus P106B	putative DNA polymerase	2	N
contig_1056	unknown	Partial genome (putative)	ct2_contig_dictionary64_vs01	1446	Myoviridae sp. ctir064	linear	1	Prodigal (meta)	no blastn	937456694	YP_009168531.1	755164	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Anamdongvirus	Lactobacillus virus LBR48	putative reverse transcriptase	1	N
contig_1057	unknown	unknown	NA	1459	Candidatus Saccharibacteria sp. cat1055	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	95818	Bacteria	Candidatus Saccharibacteria	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1058	unknown	unknown	NA	1101	Firmicutes sp. cat1056	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1239	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	not classified	no protein	4	N
contig_1059	unknown	unknown	NA	1445	not classified sp. cat1057	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_106	unknown	unknown	NA	12347	Flavobacteriales bacterium sp. cat1058	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2021391	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	no protein	1	N
contig_1060	unknown	Partial genome (putative)	ct2_contig_dictionary69_vs01	1444	Microviridae sp. ctSTF69	linear	0	Prodigal (meta)	no blastn	906476413	YP_009160408.1	1655661	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	replication protein VP4	1	N
contig_1061	unknown	unknown	NA	1443	dark_matter sp. cat1009	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1009	no protein	1	N
contig_1062	unknown	unknown	NA	1443	Microviridae sp. sp. cat1060	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2202644	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae sp.	no protein	1	N
contig_1063	unknown	unknown	NA	1442	Prevotella sp. cat1061	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	not classified	no protein	1	N
contig_1064	unknown	unknown	NA	1442	dark_matter sp. cat1010	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1010	no protein	1	N
contig_1065	unknown	Partial genome (putative)	ct2_contig_dictionary74_vs01	1442	Inoviridae sp. ct33d74	linear	1	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	10860	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Tubulavirales_undefined_family	Tubulavirales_undefined_family_undefined_genus	Tubulavirales_undefined_family_undefined_genus_undefined_species	no protein	1	N
contig_1066	unknown	Partial genome (putative)	ct2_contig_dictionary75_vs01	1441	Microviridae sp. ct5cR75	linear	1	Prodigal (meta)	no blastn	906476387	YP_009160395.1	1655658	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	DNA pilot protein VP2	1	N
contig_1067	unknown	Partial genome (putative)	ct2_contig_dictionary76_vs01	1440	Partitiviridae sp. ctBvw76	linear	0	Prodigal (meta)	no blastn	1070107230	YP_009293580.1	1115692	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Betapartitivirus	Betapartitivirus_undefined_species	coat protein	1	N
contig_1068	unknown	unknown	NA	1438	Pseudomonadales sp. cat1065	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	72274	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	not classified	not classified	not classified	no protein	1	N
contig_1069	unknown	unknown	NA	1456	not classified sp. cat1066	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	2	N
contig_107	unknown	unknown	NA	11688	Flavobacteriales bacterium sp. cat1067	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2021391	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	no protein	1	N
contig_1070	unknown	unknown	NA	1438	Prevotella sp. cat1068	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	not classified	no protein	1	N
contig_1071	unknown	unknown	NA	1031	not classified sp. cat1069	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	2	N
contig_1072	unknown	unknown	NA	1437	Clostridiales sp. cat1070	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1073	unknown	unknown	NA	1435	Clostridiales sp. cat1071	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1074	unknown	unknown	NA	1424	uncultured Blautia sp. sp. cat1072	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	765821	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	uncultured Blautia sp.	no protein	2	N
contig_1075	unknown	unknown	NA	1423	Lachnospiraceae sp. cat1073	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186803	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	not classified	not classified	no protein	2	N
